occur_date,location,depth,magnitude,max_seismic_scale
2011/3/11 20:36,sea,24,6.7,5_lower
2011/3/11 20:39,sea,25,5.8,4
2011/3/11 20:42,sea,16,5.7,3
2011/3/11 20:46,sea,41,5.4,3
2011/3/11 20:57,sea,29,5.3,4
2011/3/11 21:13,sea,26,6.2,4
2011/3/11 21:15,sea,23,5.9,4
2011/3/11 21:21,sea,23,4.9,4
2011/3/11 21:33,sea,10,5.1,3
2011/3/11 21:54,sea,39,5.1,3
2011/3/11 21:56,sea,29,5.3,3
2011/3/11 22:09,land,3,3.4,3
2011/3/11 22:09,sea,46,4.1,3
2011/3/11 22:15,sea,26,5.2,3
2011/3/11 22:16,sea,28,5.7,3
2011/3/11 22:29,sea,51,3.8,3
2011/3/11 22:33,sea,34,4.5,4
2011/3/11 22:36,sea,31,4.6,3
2011/3/11 22:47,sea,50,4.7,4
2011/3/11 22:56,sea,46,5.3,3
2011/3/11 23:00,sea,43,5.4,4
2011/3/11 23:10,sea,31,5.2,3
2011/3/11 23:26,sea,43,4.8,3
2011/3/11 23:28,sea,42,4.9,3
2011/3/11 23:44,sea,47,4.9,4
2011/3/11 23:56,sea,31,5.8,3
2011/3/12 0:07,sea,41,5.4,3
2011/3/12 0:11,land,2,3.8,3
2011/3/12 0:13,sea,23,6.7,4
2011/3/12 0:15,sea,17,4.9,3
2011/3/12 0:19,sea,18,5.7,3
2011/3/12 0:24,land,6,4.5,4
2011/3/12 0:42,sea,16,5.5,3
2011/3/12 0:57,sea,49,4.1,3
2011/3/12 1:05,sea,45,4.4,3
2011/3/12 1:06,sea,49,4.3,3
2011/3/12 2:14,sea,26,5,3
2011/3/12 2:30,sea,51,4.5,3
2011/3/12 2:30,sea,18,5,4
2011/3/12 2:56,sea,30,4.4,4
2011/3/12 3:11,sea,26,6,3
2011/3/12 3:39,sea,31,4.4,3
2011/3/12 3:44,sea,47,5,4
2011/3/12 3:59,land,8,6.7,6_upper
2011/3/12 4:01,land,1,3.9,4
2011/3/12 4:02,land,9,3.2,3
2011/3/12 4:02,sea,9,6.3,4
2011/3/12 4:03,land,9,4.1,4
2011/3/12 4:04,land,8,3.8,3
2011/3/12 4:06,land,11,3.4,3
2011/3/12 4:08,sea,35,5.2,4
2011/3/12 4:09,land,9,4.5,4
2011/3/12 4:10,land,0,4.2,4
2011/3/12 4:11,land,6,3.7,3
2011/3/12 4:12,land,12,4.3,4
2011/3/12 4:15,land,0,3.6,3
2011/3/12 4:16,land,12,3.6,3
2011/3/12 4:16,sea,29,4,3
2011/3/12 4:21,land,13,3.7,3
2011/3/12 4:24,sea,35,5.7,4
2011/3/12 4:26,land,11,3.7,3
2011/3/12 4:27,land,10,3.4,3
2011/3/12 4:31,land,0,3.1,4
2011/3/12 4:31,land,1,5.9,6_lower
2011/3/12 4:34,land,0,3.6,3
2011/3/12 4:36,land,10,3.4,3
2011/3/12 4:42,land,0,3.2,3
2011/3/12 4:44,land,0,4.2,4
2011/3/12 4:45,sea,26,5.2,4
2011/3/12 4:46,land,14,4.1,4
2011/3/12 4:46,sea,4,6.4,4
2011/3/12 4:49,land,2,3.9,4
2011/3/12 4:56,land,11,3.4,3
2011/3/12 4:57,land,0,3.8,3
2011/3/12 5:03,land,9,3.8,3
2011/3/12 5:08,sea,28,4.8,3
2011/3/12 5:10,sea,27,4.1,3
2011/3/12 5:11,sea,6,6.4,3
2011/3/12 5:20,land,7,3.6,3
2011/3/12 5:26,sea,44,4.9,3
2011/3/12 5:34,sea,49,5.1,3
2011/3/12 5:36,land,6,3.6,3
2011/3/12 5:41,land,3,3.2,3
